route_id,route_short_name,route_long_name,route_color,route_type
A,A,8 Avenue Express,0062CF,train
C,C,8 Avenue Local,0062CF,train
E,E,8 Avenue Local,0062CF,train
B,B,6 Avenue Express,EB6800,train
D,D,6 Avenue Express,EB6800,train
F,F,Queens Blvd Express/6 Av Local,EB6800,train
FX,FX,Brooklyn F Express,EB6800,train
M,M,Queens Blvd Local/6 Av Local,EB6800,train
G,G,Brooklyn-Queens Crosstown,799534,train
J,J,Nassau St Local,8E5C33,train
Z,Z,Nassau St Express,8E5C33,train
L,L,14 St-Canarsie Local,7C858C,train
N,N,Broadway Local,F6BC26,train
Q,Q,Broadway Express,F6BC26,train
R,R,Broadway Local,F6BC26,train
W,W,Broadway Local,F6BC26,train
GS,S,42 St Shuttle,7C858C,train
FS,S,Franklin Avenue Shuttle,7C858C,train
H,S,Rockaway Park Shuttle,7C858C,train
1,1,Broadway - 7 Avenue Local,D82233,train
2,2,7 Avenue Express,D82233,train
3,3,7 Avenue Express,D82233,train
4,4,Lexington Avenue Express,009952,train
5,5,Lexington Avenue Express,009952,train
6,6,Lexington Avenue Local,009952,train
6X,6X,Pelham Bay Park Express,009952,train
7,7,Flushing Local,9A38A1,train
7X,7X,Flushing Express,9A38A1,train
SI,SIR,Staten Island Railway,08179C,train
B1,B1,Bay Ridge - Manhattan Beach,00AEEF,bus
B11,B11,Sunset Park - Midwood,006CB7,bus
B12,B12,Lefferts Gardens - East New York,6CBE45,bus
B13,B13,Spring Creek - Wyckoff Hospital,FAA61A,bus
B14,B14,Spring Creek - Crown Heights,00AEEF,bus
B15,B15,Bedford Stuyvesant - JFK AirTrain,B933AD,bus
B16,B16,Bay Ridge - Lefferts Gardens,FAA61A,bus
B17,B17,Canarsie - Crown Heights,B933AD,bus
B2,B2,Kings Hwy Station - Kings Plaza,006CB7,bus
B20,B20,Ridgewood - Spring Creek,6CBE45,bus
B24,B24,Williamsburg - Greenpoint,FAA61A,bus
B25,B25,Dwntn Bklyn & DUMBO - Broadway Junction,6CBE45,bus
B26,B26,Downtown Brooklyn - Ridgewood,006CB7,bus
B3,B3,Bensonhurst - Bergen Beach,EE352E,bus
B31,B31,Gerritsen Beach - Kings Hwy Station,FAA61A,bus
B32,B32,Williamsburg - Long Island City,006CB7,bus
B35,B35,Brownsville - Sunset Park,EE352E,bus
B36,B36,Sheepshead Bay - Coney Island,FAA61A,bus
B37,B37,Downtown Brooklyn - Bay Ridge,B933AD,bus
B38,B38,Ridgewood - Downtown Brooklyn,00AEEF,bus
B39,B39,Williamsburg Bridge Plaza - Lower East Side,00AEEF,bus
B4,B4,Bay Ridge - Sheepshead Bay,6CBE45,bus
B41,B41,Kings Plaza - Downtown Brooklyn,006CB7,bus
B42,B42,Canarsie Pier - Rockaway Parkway Station,006CB7,bus
B43,B43,Greenpoint - Lefferts Gardens,EE352E,bus
B44,B44,Sheepshead Bay - Williamsburg,B933AD,bus
B44+,B44-SBS,Sheepshead Bay - Williamsburg,B933AD,bus
B45,B45,Downtown Brooklyn - Crown Heights,EE352E,bus
B46,B46,Kings Plaza - Williamsburg,6CBE45,bus
B46+,B46-SBS,Kings Plaza - Williamsburg,6CBE45,bus
B47,B47,Kings Plaza - Bedford-Stuyvesant,FAA61A,bus
B48,B48,Lefferts Gardens - Greenpoint,6CBE45,bus
B49,B49,Manhattan Beach - Bedford-Stuyvesant,EE352E,bus
B52,B52,Downtown Brooklyn - Ridgewood,EE352E,bus
B54,B54,Downtown Brooklyn - Ridgewood,6CBE45,bus
B57,B57,Gowanus - Maspeth,EE352E,bus
B6,B6,Bath Beach - East New York,EE352E,bus
B60,B60,Williamsburg - Canarsie,B933AD,bus
B61,B61,Park Slope - Downtown Brooklyn,6CBE45,bus
B62,B62,Astoria - Downtown Brooklyn,00AEEF,bus
B63,B63,Bay Ridge - Cobble Hill,006CB7,bus
B64,B64,Bay Ridge - Coney Island,6CBE45,bus
B65,B65,Downtown Brooklyn - Crown Heights,00AEEF,bus
B67,B67,Brooklyn Navy Yard - Kensington,EE352E,bus
B68,B68,Coney Island - Windsor Terrace,EE352E,bus
B69,B69,Downtown Brooklyn - Kensington,006CB7,bus
B7,B7,Midwood - Bedford-Stuyvesant,EE352E,bus
B70,B70,Dyker Heights - Sunset Park,B933AD,bus
B74,B74,Sea Gate - Stillwell Av,EE352E,bus
B8,B8,Dyker Heights - East Flatbush,FAA61A,bus
B82,B82,Coney Island - Spring Creek Towers,6CBE45,bus
B82+,B82-SBS,Coney Island -spring Creek Towers,6CBE45,bus
B83,B83,Spring Creek - Broadway Junction,EE352E,bus
B84,B84,Spring Creek-New Lots,006CB7,bus
B9,B9,Bay Ridge - Kings Plaza,EE352E,bus
BX3,Bx3,Riverdale - George Washington Bridge,EE352E,bus
BX4,Bx4,Westchester Sq - The Hub,FAA61A,bus
BX4A,Bx4A,Westchester Sq - Gladstone Sq,FAA61A,bus
BX5,Bx5,Pelham Bay - Gladstone Sq,EE352E,bus
BX6,Bx6,Hunts Point - Riverside Dr,EE352E,bus
BX6+,Bx6-SBS,Hunts Point - Riverside Dr,EE352E,bus
BX7,Bx7,Riverdale - Washington Heights,EE352E,bus
BX8,Bx8,Williamsbridge - Locust Point,FAA61A,bus
BX9,Bx9,Riverdale - West Farms Sq,FAA61A,bus
BX1,Bx1,Riverdale - Mott Haven,00AEEF,bus
BX10,Bx10,Riverdale - Norwood,006CB7,bus
BX11,Bx11,George Washington Bridge - Parkchester,FAA61A,bus
BX12,Bx12,Pelham Bay - Inwood,006CB7,bus
BX12+,Bx12-SBS,Bay Plaza - Inwood,006CB7,bus
BX13,Bx13,George Washington Bridge - Bronx Terminal Market,006CB7,bus
BX15,Bx15,Fordham Plaza - The Hub,FAA61A,bus
BX16,Bx16,Pelham - Norwood,00AEEF,bus
BX17,Bx17,Fordham Plaza - Port Morris,006CB7,bus
BX18B,Bx18B,Morris Heights/High Bridge Circulator,6CBE45,bus
BX18A,Bx18A,Morris Heights/High Bridge Circulator,6CBE45,bus
BX19,Bx19,NY Botanical Garden - Riverbank Park,B933AD,bus
BX2,Bx2,Kingsbridge Heights - Mott Haven,FAA61A,bus
BX20,Bx20,Riverdale - Inwood,00AEEF,bus
BX21,Bx21,Westchester Sq - Mott Haven,6CBE45,bus
BX22,Bx22,Bedford Park - Castle Hill,EE352E,bus
BX24,Bx24,Country Club - Hutchinson Metro Center,6CBE45,bus
BX25,Bx25,Co-op City Bay Plaza - Bedford Park,FAA61A,bus
BX26,Bx26,Co-op City Section 5 - Bedford Park,FAA61A,bus
BX27,Bx27,Clasons Pt - Gladstone Sq,00AEEF,bus
BX28,Bx28,Co-op City Section 5 - Fordham Center,00AEEF,bus
BX29,Bx29,City Island - Pelham Bay,00AEEF,bus
BX30,Bx30,Co-op City Section 5 - Pelham Parkway,EE352E,bus
BX31,Bx31,Woodlawn - Westchester Sq,EE352E,bus
BX32,Bx32,Kingsbridge VA Hospital - Mott Haven,6CBE45,bus
BX33,Bx33,Port Morris - Harlem,6CBE45,bus
BX34,Bx34,Woodlawn - Fordham Center,B933AD,bus
BX35,Bx35,George Washington Bridge-West Farms Road,00AEEF,bus
BX36,Bx36,Soundview - George Washington Bridge,B933AD,bus
BX38,Bx38,Co-op City Bay Plaza - Norwood,FAA61A,bus
BX39,Bx39,Wakefield - Clasons Pt,FAA61A,bus
BX40,Bx40,Throgs Neck - River Park Towers,006CB7,bus
BX41,Bx41,Williamsbridge - The Hub,EE352E,bus
BX41+,Bx41-SBS,Williamsbridge - The Hub,EE352E,bus
BX42,Bx42,Throgs Neck - River Park Towers,EE352E,bus
BX46,Bx46,Prospect Av - Westchester Av / Hunts Point Market,EE352E,bus
M1,M1,Harlem - East Village,EE352E,bus
M2,M2,Washington Heights - East Village,B933AD,bus
M3,M3,Fort George - East Village,B933AD,bus
M4,M4,The Cloisters - 32 St,00AEEF,bus
M5,M5,George Washington Bridge - 31 St & 6 Av,EE352E,bus
M7,M7,Harlem - 14th Street,00AEEF,bus
M8,M8,West Village - East Village,00AEEF,bus
M9,M9,Battery Park City - Kips Bay,B933AD,bus
M10,M10,Harlem - Columbus Circle,006CB7,bus
M100,M100,Inwood - Harlem,00AEEF,bus
M101,M101,East Village - Fort George,FAA61A,bus
M102,M102,Harlem - East Village,FAA61A,bus
M103,M103,East Harlem - City Hall,B933AD,bus
M104,M104,West Harlem - Times Square,B933AD,bus
M106,M106,East Harlem - West Side,6CBE45,bus
M11,M11,Riverbank Park & Harlem - West Village,FAA61A,bus
M116,M116,West Side - East Harlem,6CBE45,bus
M12,M12,Midtown West - West Village,006CB7,bus
M125,M125,Manhattanville - The Hub,B933AD,bus
M14A+,M14A-SBS,Lower East Side - Abingdon Sq,6CBE45,bus
M14D+,M14D-SBS,Lower East Side - Chelsea Piers,6CBE45,bus
M15,M15,East Harlem - South Ferry,006CB7,bus
M15+,M15-SBS,East Harlem - South Ferry,006CB7,bus
M20,M20,Lincoln Center - South Ferry,EE352E,bus
M21,M21,Lower East Side - West Village,FAA61A,bus
M22,M22,Lower East Side - Battery Park City,00AEEF,bus
M23+,M23-SBS,Chelsea Piers - East Side,B933AD,bus
M31,M31,Yorkville - Clinton,B933AD,bus
M34+,M34-SBS,East Side - Javits Center,006CB7,bus
M34A+,M34A-SBS,Waterside - Port Authority Terminal,006CB7,bus
M35,M35,Ward's Island - East Harlem,FAA61A,bus
M42,M42,United Nations - W 42 St Pier,EE352E,bus
M50,M50,W 42 St Pier - East Side,6CBE45,bus
M55,M55,W 44 St  - South Ferry,6CBE45,bus
M57,M57,East Side - West Side,00AEEF,bus
M60+,M60-SBS,West Side - LaGuardia Airport,EE352E,bus
M66,M66,East Side - Lincoln Center,FAA61A,bus
M72,M72,East Side - West Side,6CBE45,bus
M79+,M79-SBS,Yorkville - West Side,EE352E,bus
M86+,M86-SBS,Yorkville - West Side,FAA61A,bus
M96,M96,East Side - West Side,6CBE45,bus
M98,M98,Washington Heights - Upper East Side LTD,EE352E,bus
Q1,Q1,Bellerose - Jamaica,FAA61A,bus
Q2,Q2,Queens Village - Jamaica,6CBE45,bus
Q3,Q3,Jamaica - JFK Airport,00AEEF,bus
Q4,Q4,Cambria Heights - Jamaica,EE352E,bus
Q5,Q5,Laurelton - Jamaica,EE352E,bus
Q12,Q12,Little Neck - Flushing,EE352E,bus
Q13,Q13,Fort Totten - Flushing,EE352E,bus
Q15,Q15,Flushing - Beechhurst,FAA61A,bus
Q16,Q16,Fort Totten - Flushing,EE352E,bus
Q17,Q17,Flushing - Jamaica,EE352E,bus
Q24,Q24,Bedford Stuyvesant - Jamaica,00AEEF,bus
Q27,Q27,Cambria Heights - Flushing,EE352E,bus
Q30,Q30,Little Neck - Jamaica,FAA61A,bus
Q31,Q31,Bayside - Jamaica,FAA61A,bus
Q36,Q36,Little Neck - Jamaica,FAA61A,bus
Q42,Q42,Addisleigh Park - Jamaica,00AEEF,bus
Q43,Q43,Floral Park - Jamaica,EE352E,bus
Q44+,Q44-SBS,Bronx Zoo - Jamaica,EE352E,bus
Q46,Q46,LIJ Hospital - Kew Gardens,EE352E,bus
Q48,Q48,Glen Oaks - Kew Gardens,006CB7,bus
Q54,Q54,Williamsburg - Jamaica,B933AD,bus
Q55,Q55,Ridgewood - Richmond Hill,EE352E,bus
Q56,Q56,Broadway Junction - Jamaica,B933AD,bus
Q58,Q58,Ridgewood - Flushing,6CBE45,bus
Q59,Q59,Williamsburg - Rego Park,FAA61A,bus
Q76,Q76,College Point - Jamaica,6CBE45,bus
Q77,Q77,Springfield Gardens - Jamaica,FAA61A,bus
Q82,Q82,Jamaica - Belmont Park,FAA61A,bus
Q83,Q83,Cambria Heights - Jamaica,6CBE45,bus
Q84,Q84,Laurelton - Jamaica,B933AD,bus
Q85,Q85,Rosedale - Jamaica,EE352E,bus
Q88,Q88,Elmhurst - Queens Village,FAA61A,bus
SIM1,SIM1,Eltingville - Lower Manhattan Express,00933C,bus
SIM1C,SIM1C,Eltingville - Manhattan Express,00933C,bus
SIM2,SIM2,Tottenville - Lower Manhattan Express,00933C,bus
SIM3,SIM3,Pt. Richmond - Midtown Manhattan Express,00933C,bus
SIM3C,SIM3C,Pt. Richmond - Manhattan Express,00933C,bus
SIM4,SIM4,Eltingville - Lower Manhattan Express,00933C,bus
SIM4X,SIM4X,S.I. Mall - Lower Manhattan Express,00933C,bus
SIM4C,SIM4C,Huguenot - Manhattan Express,00933C,bus
SIM5,SIM5,Eltingville - Lower Manhattan Express,00933C,bus
SIM6,SIM6,Eltingville - Midtown Manhattan Express,00933C,bus
SIM7,SIM7,Eltingville - Greenwich Village Express,00933C,bus
SIM8,SIM8,Huguenot - Midtown Manhattan Express,00933C,bus
SIM8X,SIM8X,S.I. Mall - Midtown Manhattan Express,00933C,bus
SIM9,SIM9, Eltingville - Greenwich Village Express,00933C,bus
SIM10,SIM10, Eltingville - Midtown Manhattan Express,00933C,bus
SIM11,SIM11, New Dorp - Midtown Manhattan Express,00933C,bus
SIM15,SIM15, Eltingville - Lower Manhattan Express,00933C,bus
SIM22,SIM22, Eltingville - Midtown Manhattan Express,00933C,bus
SIM23,SIM23, Annadale - Midtown Manhattan Express,00933C,bus
SIM24,SIM24, Prince's Bay - Midtown Manhattan Express,00933C,bus
SIM25,SIM25, Tottenville - Midtown Manhattan Express,00933C,bus
SIM26,SIM26, Tottenville - Midtown Manhattan Express,00933C,bus
SIM30,SIM30, Sunnyside - Midtown Manhattan Express,00933C,bus
SIM31,SIM31, Eltingville - Midtown Manhattan Express,00933C,bus
SIM32,SIM32, Travis - Lower Manhattan Express,00933C,bus
SIM33,SIM33, Mariners Harbor - Manhattan Express,00933C,bus
SIM33C,SIM33C, Mariners Harbor - Greenwich Village Express,00933C,bus
SIM34,SIM34, Mariners Harbor - Lower Manhattan Express,00933C,bus
SIM35,SIM35, Port Richmond - Lower Manhattan Express,00933C,bus
S40,S40,St. George - Amazon,B933AD,bus
S42,S42,St. George - Clyde Place,00AEEF,bus
S44,S44,St. George - Staten Island Mall,FAA61A,bus
