stop_id,stop_name
101,Van Cortlandt Park-242 St
101N,Van Cortlandt Park-242 St
101S,Van Cortlandt Park-242 St
103,238 St
103N,238 St
103S,238 St
104,231 St
104N,231 St
104S,231 St
106,Marble Hill-225 St
106N,Marble Hill-225 St
106S,Marble Hill-225 St
107,215 St
107N,215 St
107S,215 St
108,207 St
108N,207 St
108S,207 St
109,Dyckman St
109N,Dyckman St
109S,Dyckman St
110,191 St
110N,191 St
110S,191 St
111,181 St
111N,181 St
111S,181 St
112,168 St-Washington Hts
112N,168 St-Washington Hts
112S,168 St-Washington Hts
113,157 St
113N,157 St
113S,157 St
114,145 St
114N,145 St
114S,145 St
115,137 St-City College
115N,137 St-City College
115S,137 St-City College
116,125 St
116N,125 St
116S,125 St
117,116 St-Columbia University
117N,116 St-Columbia University
117S,116 St-Columbia University
118,Cathedral Pkwy (110 St)
118N,Cathedral Pkwy (110 St)
118S,Cathedral Pkwy (110 St)
119,103 St
119N,103 St
119S,103 St
120,96 St
120N,96 St
120S,96 St
121,86 St
121N,86 St
121S,86 St
122,79 St
122N,79 St
122S,79 St
123,72 St
123N,72 St
123S,72 St
124,66 St-Lincoln Center
124N,66 St-Lincoln Center
124S,66 St-Lincoln Center
125,59 St-Columbus Circle
125N,59 St-Columbus Circle
125S,59 St-Columbus Circle
126,50 St
126N,50 St
126S,50 St
127,Times Sq-42 St
127N,Times Sq-42 St
127S,Times Sq-42 St
128,34 St-Penn Station
128N,34 St-Penn Station
128S,34 St-Penn Station
129,28 St
129N,28 St
129S,28 St
130,23 St
130N,23 St
130S,23 St
131,18 St
131N,18 St
131S,18 St
132,14 St
132N,14 St
132S,14 St
133,Christopher St-Stonewall
133N,Christopher St-Stonewall
133S,Christopher St-Stonewall
134,Houston St
134N,Houston St
134S,Houston St
135,Canal St
135N,Canal St
135S,Canal St
136,Franklin St
136N,Franklin St
136S,Franklin St
137,Chambers St
137N,Chambers St
137S,Chambers St
138,WTC Cortlandt
138N,WTC Cortlandt
138S,WTC Cortlandt
139,Rector St
139N,Rector St
139S,Rector St
142,South Ferry
142N,South Ferry
142S,South Ferry
201,Wakefield-241 St
201N,Wakefield-241 St
201S,Wakefield-241 St
204,Nereid Av
204N,Nereid Av
204S,Nereid Av
205,233 St
205N,233 St
205S,233 St
206,225 St
206N,225 St
206S,225 St
207,219 St
207N,219 St
207S,219 St
208,Gun Hill Rd
208N,Gun Hill Rd
208S,Gun Hill Rd
209,Burke Av
209N,Burke Av
209S,Burke Av
210,Allerton Av
210N,Allerton Av
210S,Allerton Av
211,Pelham Pkwy
211N,Pelham Pkwy
211S,Pelham Pkwy
212,Bronx Park East
212N,Bronx Park East
212S,Bronx Park East
213,E 180 St
213N,E 180 St
213S,E 180 St
214,West Farms Sq-E Tremont Av
214N,West Farms Sq-E Tremont Av
214S,West Farms Sq-E Tremont Av
215,174 St
215N,174 St
215S,174 St
216,Freeman St
216N,Freeman St
216S,Freeman St
217,Simpson St
217N,Simpson St
217S,Simpson St
218,Intervale Av
218N,Intervale Av
218S,Intervale Av
219,Prospect Av
219N,Prospect Av
219S,Prospect Av
220,Jackson Av
220N,Jackson Av
220S,Jackson Av
221,3 Av-149 St
221N,3 Av-149 St
221S,3 Av-149 St
222,149 St-Grand Concourse
222N,149 St-Grand Concourse
222S,149 St-Grand Concourse
224,135 St
224N,135 St
224S,135 St
225,125 St
225N,125 St
225S,125 St
226,116 St
226N,116 St
226S,116 St
227,110 St-Malcolm X Plaza
227N,110 St-Malcolm X Plaza
227S,110 St-Malcolm X Plaza
228,Park Place
228N,Park Place
228S,Park Place
229,Fulton St
229N,Fulton St
229S,Fulton St
230,Wall St
230N,Wall St
230S,Wall St
231,Clark St
231N,Clark St
231S,Clark St
232,Borough Hall
232N,Borough Hall
232S,Borough Hall
233,Hoyt St
233N,Hoyt St
233S,Hoyt St
234,Nevins St
234N,Nevins St
234S,Nevins St
235,Atlantic Av-Barclays Ctr
235N,Atlantic Av-Barclays Ctr
235S,Atlantic Av-Barclays Ctr
236,Bergen St
236N,Bergen St
236S,Bergen St
237,Grand Army Plaza
237N,Grand Army Plaza
237S,Grand Army Plaza
238,Eastern Pkwy-Brooklyn Museum
238N,Eastern Pkwy-Brooklyn Museum
238S,Eastern Pkwy-Brooklyn Museum
239,Franklin Av-Medgar Evers College
239N,Franklin Av-Medgar Evers College
239S,Franklin Av-Medgar Evers College
241,President St-Medgar Evers College
241N,President St-Medgar Evers College
241S,President St-Medgar Evers College
242,Sterling St
242N,Sterling St
242S,Sterling St
243,Winthrop St
243N,Winthrop St
243S,Winthrop St
244,Church Av
244N,Church Av
244S,Church Av
245,Beverly Rd
245N,Beverly Rd
245S,Beverly Rd
246,Newkirk Av-Little Haiti
246N,Newkirk Av-Little Haiti
246S,Newkirk Av-Little Haiti
247,Flatbush Av-Brooklyn College
247N,Flatbush Av-Brooklyn College
247S,Flatbush Av-Brooklyn College
248,Nostrand Av
248N,Nostrand Av
248S,Nostrand Av
249,Kingston Av
249N,Kingston Av
249S,Kingston Av
250,Crown Hts-Utica Av
250N,Crown Hts-Utica Av
250S,Crown Hts-Utica Av
251,Sutter Av-Rutland Rd
251N,Sutter Av-Rutland Rd
251S,Sutter Av-Rutland Rd
252,Saratoga Av
252N,Saratoga Av
252S,Saratoga Av
253,Rockaway Av
253N,Rockaway Av
253S,Rockaway Av
254,Junius St
254N,Junius St
254S,Junius St
255,Pennsylvania Av
255N,Pennsylvania Av
255S,Pennsylvania Av
256,Van Siclen Av
256N,Van Siclen Av
256S,Van Siclen Av
257,New Lots Av
257N,New Lots Av
257S,New Lots Av
301,Harlem-148 St
301N,Harlem-148 St
301S,Harlem-148 St
302,145 St
302N,145 St
302S,145 St
401,Woodlawn
401N,Woodlawn
401S,Woodlawn
402,Mosholu Pkwy
402N,Mosholu Pkwy
402S,Mosholu Pkwy
405,Bedford Park Blvd-Lehman College
405N,Bedford Park Blvd-Lehman College
405S,Bedford Park Blvd-Lehman College
406,Kingsbridge Rd
406N,Kingsbridge Rd
406S,Kingsbridge Rd
407,Fordham Rd
407N,Fordham Rd
407S,Fordham Rd
408,183 St
408N,183 St
408S,183 St
409,Burnside Av
409N,Burnside Av
409S,Burnside Av
410,176 St
410N,176 St
410S,176 St
411,Mt Eden Av
411N,Mt Eden Av
411S,Mt Eden Av
412,170 St
412N,170 St
412S,170 St
413,167 St
413N,167 St
413S,167 St
414,161 St-Yankee Stadium
414N,161 St-Yankee Stadium
414S,161 St-Yankee Stadium
415,149 St-Grand Concourse
415N,149 St-Grand Concourse
415S,149 St-Grand Concourse
416,138 St-Grand Concourse
416N,138 St-Grand Concourse
416S,138 St-Grand Concourse
418,Fulton St
418N,Fulton St
